"ID";"quesito";"nota"
"852a54b4";"Câmbio";9
"852a54b4";"Freios";7
"852a54b4";"Suspensão";8
"852a54b4";"Consumo";10
"852a54b4";"Estabilidade";7
"852a54b4";"Custo-Benefício";9
"852a54b4";"Recomendação";9
"dc686d42";"Estilo";8
"dc686d42";"Acabamento";2
"dc686d42";"Posição de dirigir";5
"dc686d42";"Instrumentos";7
"dc686d42";"Interior";6
"dc686d42";"Porta-malas";7
"dc686d42";"Desempenho";8
"dc686d42";"Motor";8
"dc686d42";"Câmbio";7
"dc686d42";"Freios";6
"dc686d42";"Suspensão";5
"dc686d42";"Consumo";10
"dc686d42";"Estabilidade";8
"dc686d42";"Custo-Benefício";10
"dc686d42";"Recomendação";9
"f8a6d3f6";"Estilo";9
"f8a6d3f6";"Acabamento";5
"f8a6d3f6";"Posição de dirigir";10
"f8a6d3f6";"Instrumentos";10
"f8a6d3f6";"Interior";6
"f8a6d3f6";"Porta-malas";6
"f8a6d3f6";"Desempenho";9
"f8a6d3f6";"Motor";10
"f8a6d3f6";"Câmbio";10
"f8a6d3f6";"Freios";8
"f8a6d3f6";"Suspensão";8
"f8a6d3f6";"Consumo";9
"f8a6d3f6";"Estabilidade";9
"f8a6d3f6";"Custo-Benefício";10
"f8a6d3f6";"Recomendação";9
"8cd5fbf4";"Estilo";8
"8cd5fbf4";"Acabamento";7
"8cd5fbf4";"Posição de dirigir";7
"8cd5fbf4";"Instrumentos";6
"8cd5fbf4";"Interior";7
"8cd5fbf4";"Porta-malas";7
"8cd5fbf4";"Desempenho";7
"8cd5fbf4";"Motor";7
"8cd5fbf4";"Câmbio";7
"8cd5fbf4";"Freios";7
"8cd5fbf4";"Suspensão";8
"8cd5fbf4";"Consumo";9
"8cd5fbf4";"Estabilidade";8
"8cd5fbf4";"Custo-Benefício";8
"8cd5fbf4";"Recomendação";9
"dc655dbb";"Estilo";9
"dc655dbb";"Acabamento";8
"dc655dbb";"Posição de dirigir";8
"dc655dbb";"Instrumentos";6
"dc655dbb";"Interior";7
"dc655dbb";"Porta-malas";9
"dc655dbb";"Desempenho";7
"dc655dbb";"Motor";7
"dc655dbb";"Câmbio";9
"dc655dbb";"Freios";8
"dc655dbb";"Suspensão";8
"dc655dbb";"Consumo";10
"dc655dbb";"Estabilidade";10
"dc655dbb";"Custo-Benefício";10
"dc655dbb";"Recomendação";10
"54bc72dc";"Estilo";5
"54bc72dc";"Acabamento";2
"54bc72dc";"Posição de dirigir";2
"54bc72dc";"Instrumentos";8
"54bc72dc";"Interior";5
"54bc72dc";"Porta-malas";5
"54bc72dc";"Desempenho";7
"54bc72dc";"Motor";7
"54bc72dc";"Câmbio";6
"54bc72dc";"Freios";6
"54bc72dc";"Suspensão";5
"54bc72dc";"Consumo";10
"54bc72dc";"Estabilidade";8
"54bc72dc";"Custo-Benefício";8
"54bc72dc";"Recomendação";7
"7ba08042";"Estilo";7
"7ba08042";"Acabamento";6
"7ba08042";"Posição de dirigir";9
"7ba08042";"Instrumentos";4
"7ba08042";"Interior";3
"7ba08042";"Porta-malas";2
"7ba08042";"Desempenho";9
"7ba08042";"Motor";9
"7ba08042";"Câmbio";8
"7ba08042";"Freios";10
"7ba08042";"Suspensão";8
"7ba08042";"Consumo";9
"7ba08042";"Estabilidade";6
"7ba08042";"Custo-Benefício";8
"7ba08042";"Recomendação";9
"5e6201ae";"Estilo";8
"5e6201ae";"Acabamento";7
"5e6201ae";"Posição de dirigir";8
"5e6201ae";"Instrumentos";7
"5e6201ae";"Interior";8
"5e6201ae";"Porta-malas";6
"5e6201ae";"Desempenho";5
"5e6201ae";"Motor";8
"5e6201ae";"Câmbio";7
"5e6201ae";"Freios";9
"5e6201ae";"Suspensão";8
"5e6201ae";"Consumo";9
"5e6201ae";"Estabilidade";8
"5e6201ae";"Custo-Benefício";10
"5e6201ae";"Recomendação";8
"4573aa7a";"Estilo";9
"4573aa7a";"Acabamento";10
"4573aa7a";"Posição de dirigir";10
"4573aa7a";"Instrumentos";10
"4573aa7a";"Interior";10
"4573aa7a";"Porta-malas";10
"4573aa7a";"Desempenho";10
"4573aa7a";"Motor";10
"4573aa7a";"Câmbio";10
"4573aa7a";"Freios";10
"4573aa7a";"Suspensão";7
"4573aa7a";"Consumo";10
"4573aa7a";"Estabilidade";8
"4573aa7a";"Custo-Benefício";10
"4573aa7a";"Recomendação";10
"7bd2eb85";"Estilo";6
"7bd2eb85";"Acabamento";5
"7bd2eb85";"Posição de dirigir";5
"7bd2eb85";"Instrumentos";5
"7bd2eb85";"Interior";5
"7bd2eb85";"Porta-malas";4
"7bd2eb85";"Desempenho";4
"7bd2eb85";"Motor";5
"7bd2eb85";"Câmbio";5
"7bd2eb85";"Freios";5
"7bd2eb85";"Suspensão";5
"7bd2eb85";"Consumo";8
"7bd2eb85";"Estabilidade";8
"7bd2eb85";"Custo-Benefício";8
"7bd2eb85";"Recomendação";8
"b353ce0e";"Estilo";7
"b353ce0e";"Acabamento";7
"b353ce0e";"Posição de dirigir";8
"b353ce0e";"Instrumentos";7
"b353ce0e";"Interior";7
"b353ce0e";"Porta-malas";7
"b353ce0e";"Desempenho";7
"b353ce0e";"Motor";8
"b353ce0e";"Câmbio";7
"b353ce0e";"Freios";7
"b353ce0e";"Suspensão";7
"b353ce0e";"Consumo";8
"b353ce0e";"Estabilidade";8
"b353ce0e";"Custo-Benefício";9
"b353ce0e";"Recomendação";8
"b37f69c0";"Estilo";6
"b37f69c0";"Acabamento";4
"b37f69c0";"Posição de dirigir";7
"b37f69c0";"Instrumentos";7
"b37f69c0";"Interior";5
"b37f69c0";"Porta-malas";5
"b37f69c0";"Desempenho";8
"b37f69c0";"Motor";9
"b37f69c0";"Câmbio";7
"b37f69c0";"Freios";7
"b37f69c0";"Suspensão";5
"b37f69c0";"Consumo";8
"b37f69c0";"Estabilidade";8
"b37f69c0";"Custo-Benefício";8
"b37f69c0";"Recomendação";8
"012ea5cf";"Estilo";8
"012ea5cf";"Acabamento";6
"012ea5cf";"Posição de dirigir";5
"012ea5cf";"Instrumentos";10
"012ea5cf";"Interior";3
"012ea5cf";"Porta-malas";5
"012ea5cf";"Desempenho";6
"012ea5cf";"Motor";6
"012ea5cf";"Câmbio";5
"012ea5cf";"Freios";10
"012ea5cf";"Suspensão";7
"012ea5cf";"Consumo";8
"012ea5cf";"Estabilidade";9
"012ea5cf";"Custo-Benefício";7
"012ea5cf";"Recomendação";8
"eb91ebb6";"Estilo";10
"eb91ebb6";"Acabamento";5
"eb91ebb6";"Posição de dirigir";10
"eb91ebb6";"Instrumentos";9
"eb91ebb6";"Interior";9
"eb91ebb6";"Porta-malas";7
"eb91ebb6";"Desempenho";10
"eb91ebb6";"Motor";2
"eb91ebb6";"Câmbio";9
"eb91ebb6";"Freios";9
"eb91ebb6";"Suspensão";9
"eb91ebb6";"Consumo";10
"eb91ebb6";"Estabilidade";7
"eb91ebb6";"Custo-Benefício";10
"eb91ebb6";"Recomendação";9
"e8ee433e";"Estilo";8
"e8ee433e";"Acabamento";8
"e8ee433e";"Posição de dirigir";9
"e8ee433e";"Instrumentos";8
"e8ee433e";"Interior";5
"e8ee433e";"Porta-malas";8
"e8ee433e";"Desempenho";8
"e8ee433e";"Motor";9
"e8ee433e";"Câmbio";8
"e8ee433e";"Freios";7
"e8ee433e";"Suspensão";5
"e8ee433e";"Consumo";10
"e8ee433e";"Estabilidade";8
"e8ee433e";"Custo-Benefício";10
"e8ee433e";"Recomendação";10
"e8ff15e6";"Estilo";8
"e8ff15e6";"Acabamento";9
"e8ff15e6";"Posição de dirigir";7
"e8ff15e6";"Instrumentos";8
"e8ff15e6";"Interior";8
"e8ff15e6";"Porta-malas";7
"e8ff15e6";"Desempenho";9
"e8ff15e6";"Motor";9
"e8ff15e6";"Câmbio";9
"e8ff15e6";"Freios";10
"e8ff15e6";"Suspensão";10
"e8ff15e6";"Consumo";10
"e8ff15e6";"Estabilidade";9
"e8ff15e6";"Custo-Benefício";9
"e8ff15e6";"Recomendação";10
"d72e00d4";"Estilo";9
"d72e00d4";"Acabamento";7
"d72e00d4";"Posição de dirigir";7
"d72e00d4";"Instrumentos";10
"d72e00d4";"Interior";8
"d72e00d4";"Porta-malas";8
"d72e00d4";"Desempenho";9
"d72e00d4";"Motor";8
"d72e00d4";"Câmbio";7
"d72e00d4";"Freios";9
"d72e00d4";"Suspensão";7
"d72e00d4";"Consumo";8
"d72e00d4";"Estabilidade";8
"d72e00d4";"Custo-Benefício";10
"d72e00d4";"Recomendação";10
"a2394ba9";"Estilo";10
"a2394ba9";"Acabamento";7
"a2394ba9";"Posição de dirigir";7
"a2394ba9";"Instrumentos";10
"a2394ba9";"Interior";6
"a2394ba9";"Porta-malas";10
"a2394ba9";"Desempenho";7
"a2394ba9";"Motor";8
"a2394ba9";"Câmbio";6
"a2394ba9";"Freios";7
"a2394ba9";"Suspensão";7
"a2394ba9";"Consumo";8
"a2394ba9";"Estabilidade";7
"a2394ba9";"Custo-Benefício";8
"a2394ba9";"Recomendação";8
"59625757";"Estilo";8
"59625757";"Acabamento";9
"59625757";"Posição de dirigir";10
"59625757";"Instrumentos";10
"59625757";"Interior";9
"59625757";"Porta-malas";9
"59625757";"Desempenho";10
"59625757";"Motor";10
"59625757";"Câmbio";8
"59625757";"Freios";10
"59625757";"Suspensão";10
"59625757";"Consumo";9
"59625757";"Estabilidade";10
"59625757";"Custo-Benefício";9
"59625757";"Recomendação";10
"cf0c23e9";"Estilo";9
"cf0c23e9";"Acabamento";4
"cf0c23e9";"Posição de dirigir";4
"cf0c23e9";"Instrumentos";2
"cf0c23e9";"Interior";5
"cf0c23e9";"Porta-malas";5
"cf0c23e9";"Desempenho";9
"cf0c23e9";"Motor";9
"cf0c23e9";"Câmbio";7
"cf0c23e9";"Freios";10
"cf0c23e9";"Suspensão";10
"cf0c23e9";"Consumo";10
"cf0c23e9";"Estabilidade";10
"cf0c23e9";"Custo-Benefício";9
"cf0c23e9";"Recomendação";8
"977e41f7";"Estilo";5
"977e41f7";"Acabamento";5
"977e41f7";"Posição de dirigir";6
"977e41f7";"Instrumentos";6
"977e41f7";"Interior";5
"977e41f7";"Porta-malas";5
"977e41f7";"Desempenho";5
"977e41f7";"Motor";6
"977e41f7";"Câmbio";6
"977e41f7";"Freios";6
"977e41f7";"Suspensão";6
"977e41f7";"Consumo";5
"977e41f7";"Estabilidade";7
"977e41f7";"Custo-Benefício";8
"977e41f7";"Recomendação";7
"1a5c0f07";"Estilo";7
"1a5c0f07";"Acabamento";0
"1a5c0f07";"Posição de dirigir";6
"1a5c0f07";"Instrumentos";7
"1a5c0f07";"Interior";5
"1a5c0f07";"Porta-malas";5
"1a5c0f07";"Desempenho";5
"1a5c0f07";"Motor";8
"1a5c0f07";"Câmbio";0
"1a5c0f07";"Freios";8
"1a5c0f07";"Suspensão";4
"1a5c0f07";"Consumo";10
"1a5c0f07";"Estabilidade";7
"1a5c0f07";"Custo-Benefício";7
"1a5c0f07";"Recomendação";2
"ade11209";"Estilo";9
"ade11209";"Acabamento";8
"ade11209";"Posição de dirigir";10
"ade11209";"Instrumentos";10
"ade11209";"Interior";9
"ade11209";"Porta-malas";8
"ade11209";"Desempenho";10
"ade11209";"Motor";10
"ade11209";"Câmbio";8
"ade11209";"Freios";9
"ade11209";"Suspensão";9
"ade11209";"Consumo";10
"ade11209";"Estabilidade";9
"ade11209";"Custo-Benefício";9
"ade11209";"Recomendação";10
"5aa6f062";"Estilo";10
"5aa6f062";"Acabamento";9
"5aa6f062";"Posição de dirigir";9
"5aa6f062";"Instrumentos";10
"5aa6f062";"Interior";9
"5aa6f062";"Porta-malas";9
"5aa6f062";"Desempenho";9
"5aa6f062";"Motor";9
"5aa6f062";"Câmbio";10
"5aa6f062";"Freios";10
"5aa6f062";"Suspensão";10
"5aa6f062";"Consumo";10
"5aa6f062";"Estabilidade";10
"5aa6f062";"Custo-Benefício";10
"5aa6f062";"Recomendação";10
"1244e307";"Estilo";10
"1244e307";"Acabamento";8
"1244e307";"Posição de dirigir";10
"1244e307";"Instrumentos";10
"1244e307";"Interior";2
"1244e307";"Porta-malas";2
"1244e307";"Desempenho";5
"1244e307";"Motor";8
"1244e307";"Câmbio";8
"1244e307";"Freios";8
"1244e307";"Suspensão";8
"1244e307";"Consumo";10
"1244e307";"Estabilidade";10
"1244e307";"Custo-Benefício";10
"1244e307";"Recomendação";10
"dcc76a23";"Estilo";8
"dcc76a23";"Acabamento";6
"dcc76a23";"Posição de dirigir";8
"dcc76a23";"Instrumentos";8
"dcc76a23";"Interior";7
"dcc76a23";"Porta-malas";6
"dcc76a23";"Desempenho";8
"dcc76a23";"Motor";8
"dcc76a23";"Câmbio";6
"dcc76a23";"Freios";6
"dcc76a23";"Suspensão";5
"dcc76a23";"Consumo";7
"dcc76a23";"Estabilidade";8
"dcc76a23";"Custo-Benefício";9
"dcc76a23";"Recomendação";8
"c8f966aa";"Estilo";10
"c8f966aa";"Acabamento";5
"c8f966aa";"Posição de dirigir";8
"c8f966aa";"Instrumentos";10
"c8f966aa";"Interior";4
"c8f966aa";"Porta-malas";4
"c8f966aa";"Desempenho";9
"c8f966aa";"Motor";10
"c8f966aa";"Câmbio";8
"c8f966aa";"Freios";7
"c8f966aa";"Suspensão";5
"c8f966aa";"Consumo";8
"c8f966aa";"Estabilidade";6
"c8f966aa";"Custo-Benefício";10
"c8f966aa";"Recomendação";10
"9e8bf07b";"Estilo";10
"9e8bf07b";"Acabamento";5
"9e8bf07b";"Posição de dirigir";6
"9e8bf07b";"Instrumentos";8
"9e8bf07b";"Interior";5
"9e8bf07b";"Porta-malas";5
"9e8bf07b";"Desempenho";10
"9e8bf07b";"Motor";9
"9e8bf07b";"Câmbio";7
"9e8bf07b";"Freios";7
"9e8bf07b";"Suspensão";7
"9e8bf07b";"Consumo";10
"9e8bf07b";"Estabilidade";7
"9e8bf07b";"Custo-Benefício";7
"9e8bf07b";"Recomendação";7
"91764233";"Estilo";7
"91764233";"Acabamento";1
"91764233";"Posição de dirigir";3
"91764233";"Instrumentos";6
"91764233";"Interior";1
"91764233";"Porta-malas";4
"91764233";"Desempenho";9
"91764233";"Motor";9
"91764233";"Câmbio";8
"91764233";"Freios";8
"91764233";"Suspensão";7
"91764233";"Consumo";5
"91764233";"Estabilidade";9
"91764233";"Custo-Benefício";8
"91764233";"Recomendação";8
"956e2c54";"Estilo";9
"956e2c54";"Acabamento";7
"956e2c54";"Posição de dirigir";6
"956e2c54";"Instrumentos";7
"956e2c54";"Interior";6
"956e2c54";"Porta-malas";7
"956e2c54";"Desempenho";9
"956e2c54";"Motor";9
"956e2c54";"Câmbio";9
"956e2c54";"Freios";7
"956e2c54";"Suspensão";8
"956e2c54";"Consumo";10
"956e2c54";"Estabilidade";7
"956e2c54";"Custo-Benefício";10
"956e2c54";"Recomendação";10
"8813f823";"Estilo";6
"8813f823";"Acabamento";5
"8813f823";"Posição de dirigir";4
"8813f823";"Instrumentos";7
"8813f823";"Interior";5
"8813f823";"Porta-malas";4
"8813f823";"Desempenho";7
"8813f823";"Motor";9
"8813f823";"Câmbio";9
"8813f823";"Freios";7
"8813f823";"Suspensão";6
"8813f823";"Consumo";7
"8813f823";"Estabilidade";6
"8813f823";"Custo-Benefício";9
"8813f823";"Recomendação";8
"e8d856cd";"Estilo";10
"e8d856cd";"Acabamento";3
"e8d856cd";"Posição de dirigir";3
"e8d856cd";"Instrumentos";6
"e8d856cd";"Interior";2
"e8d856cd";"Porta-malas";5
"e8d856cd";"Desempenho";3
"e8d856cd";"Motor";6
"e8d856cd";"Câmbio";10
"e8d856cd";"Freios";7
"e8d856cd";"Suspensão";6
"e8d856cd";"Consumo";10
"e8d856cd";"Estabilidade";4
"e8d856cd";"Custo-Benefício";10
"e8d856cd";"Recomendação";10
"2d242bec";"Estilo";7
"2d242bec";"Acabamento";3
"2d242bec";"Posição de dirigir";9
"2d242bec";"Instrumentos";6
"2d242bec";"Interior";6
"2d242bec";"Porta-malas";5
"2d242bec";"Desempenho";7
"2d242bec";"Motor";8
"2d242bec";"Câmbio";9
"2d242bec";"Freios";7
"2d242bec";"Suspensão";4
"2d242bec";"Consumo";9
"2d242bec";"Estabilidade";3
"2d242bec";"Custo-Benefício";7
"2d242bec";"Recomendação";7
"db87682a";"Estilo";9
"db87682a";"Acabamento";6
"db87682a";"Posição de dirigir";7
"db87682a";"Instrumentos";8
"db87682a";"Interior";8
"db87682a";"Porta-malas";6
"db87682a";"Desempenho";9
"db87682a";"Motor";9
"db87682a";"Câmbio";10
"db87682a";"Freios";9
"db87682a";"Suspensão";9
"db87682a";"Consumo";9
"db87682a";"Estabilidade";9
"db87682a";"Custo-Benefício";8
"db87682a";"Recomendação";9
"fa99a893";"Estilo";10
"fa99a893";"Acabamento";8
"fa99a893";"Posição de dirigir";8
"fa99a893";"Instrumentos";10
"fa99a893";"Interior";9
"fa99a893";"Porta-malas";9
"fa99a893";"Desempenho";10
"fa99a893";"Motor";10
"fa99a893";"Câmbio";8
"fa99a893";"Freios";9
"fa99a893";"Suspensão";10
"fa99a893";"Consumo";10
"fa99a893";"Estabilidade";10
"fa99a893";"Custo-Benefício";10
"fa99a893";"Recomendação";10
"eb6da9a6";"Estilo";7
"eb6da9a6";"Acabamento";2
"eb6da9a6";"Posição de dirigir";3
"eb6da9a6";"Instrumentos";9
"eb6da9a6";"Interior";6
"eb6da9a6";"Porta-malas";5
"eb6da9a6";"Desempenho";6
"eb6da9a6";"Motor";6
"eb6da9a6";"Câmbio";8
"eb6da9a6";"Freios";7
"eb6da9a6";"Suspensão";5
"eb6da9a6";"Consumo";8
"eb6da9a6";"Estabilidade";7
"eb6da9a6";"Custo-Benefício";7
"eb6da9a6";"Recomendação";8
"d2640e92";"Estilo";7
"d2640e92";"Acabamento";3
"d2640e92";"Posição de dirigir";6
"d2640e92";"Instrumentos";3
"d2640e92";"Interior";3
"d2640e92";"Porta-malas";3
"d2640e92";"Desempenho";3
"d2640e92";"Motor";6
"d2640e92";"Câmbio";7
"d2640e92";"Freios";7
"d2640e92";"Suspensão";7
"d2640e92";"Consumo";4
"d2640e92";"Estabilidade";7
"d2640e92";"Custo-Benefício";8
"d2640e92";"Recomendação";7
"8c18519c";"Estilo";8
"8c18519c";"Acabamento";6
"8c18519c";"Posição de dirigir";8
"8c18519c";"Instrumentos";9
"8c18519c";"Interior";6
"8c18519c";"Porta-malas";6
"8c18519c";"Desempenho";8
"8c18519c";"Motor";7
"8c18519c";"Câmbio";8
"8c18519c";"Freios";7
"8c18519c";"Suspensão";8
"8c18519c";"Consumo";8
"8c18519c";"Estabilidade";6
"8c18519c";"Custo-Benefício";8
"8c18519c";"Recomendação";9
"11c09657";"Estilo";5
"11c09657";"Acabamento";5
"11c09657";"Posição de dirigir";5
"11c09657";"Instrumentos";3
"11c09657";"Interior";3
"11c09657";"Porta-malas";5
"11c09657";"Desempenho";6
"11c09657";"Motor";5
"11c09657";"Câmbio";10
"11c09657";"Freios";7
"11c09657";"Suspensão";5
"11c09657";"Consumo";10
"11c09657";"Estabilidade";5
"11c09657";"Custo-Benefício";7
"11c09657";"Recomendação";5
"ecd1c28a";"Estilo";9
"ecd1c28a";"Acabamento";7
"ecd1c28a";"Posição de dirigir";6
"ecd1c28a";"Instrumentos";8
"ecd1c28a";"Interior";7
"ecd1c28a";"Porta-malas";8
"ecd1c28a";"Desempenho";9
"ecd1c28a";"Motor";10
"ecd1c28a";"Câmbio";10
"ecd1c28a";"Freios";9
"ecd1c28a";"Suspensão";8
"ecd1c28a";"Consumo";10
"ecd1c28a";"Estabilidade";7
"ecd1c28a";"Custo-Benefício";9
"ecd1c28a";"Recomendação";9
"b908cfdc";"Estilo";8
"b908cfdc";"Acabamento";5
"b908cfdc";"Posição de dirigir";7
"b908cfdc";"Instrumentos";5
"b908cfdc";"Interior";6
"b908cfdc";"Porta-malas";5
"b908cfdc";"Desempenho";7
"b908cfdc";"Motor";8
"b908cfdc";"Câmbio";7
"b908cfdc";"Freios";7
"b908cfdc";"Suspensão";8
"b908cfdc";"Consumo";9
"b908cfdc";"Estabilidade";8
"b908cfdc";"Custo-Benefício";10
"b908cfdc";"Recomendação";9
"4b18b4f6";"Estilo";8
"4b18b4f6";"Acabamento";6
"4b18b4f6";"Posição de dirigir";9
"4b18b4f6";"Instrumentos";4
"4b18b4f6";"Interior";6
"4b18b4f6";"Porta-malas";8
"4b18b4f6";"Desempenho";10
"4b18b4f6";"Motor";10
"4b18b4f6";"Câmbio";10
"4b18b4f6";"Freios";8
"4b18b4f6";"Suspensão";9
"4b18b4f6";"Consumo";10
"4b18b4f6";"Estabilidade";9
"4b18b4f6";"Custo-Benefício";9
"4b18b4f6";"Recomendação";8
"0f62838a";"Estilo";4
"0f62838a";"Acabamento";3
"0f62838a";"Posição de dirigir";4
"0f62838a";"Instrumentos";8
"0f62838a";"Interior";0
"0f62838a";"Porta-malas";5
"0f62838a";"Desempenho";9
"0f62838a";"Motor";7
"0f62838a";"Câmbio";10
"0f62838a";"Freios";9
"0f62838a";"Suspensão";2
"0f62838a";"Consumo";8
"0f62838a";"Estabilidade";4
"0f62838a";"Custo-Benefício";5
"0f62838a";"Recomendação";6
"24808419";"Estilo";5
"24808419";"Acabamento";5
"24808419";"Posição de dirigir";10
"24808419";"Instrumentos";10
"24808419";"Interior";5
"24808419";"Porta-malas";4
"24808419";"Desempenho";7
"24808419";"Motor";10
"24808419";"Câmbio";10
"24808419";"Freios";10
"24808419";"Suspensão";6
"24808419";"Consumo";10
"24808419";"Estabilidade";6
"24808419";"Custo-Benefício";10
"24808419";"Recomendação";10
"1e3e3435";"Estilo";5
"1e3e3435";"Acabamento";3
"1e3e3435";"Posição de dirigir";4
"1e3e3435";"Instrumentos";3
"1e3e3435";"Interior";5
"1e3e3435";"Porta-malas";4
"1e3e3435";"Desempenho";6
"1e3e3435";"Motor";8
"1e3e3435";"Câmbio";6
"1e3e3435";"Freios";5
"1e3e3435";"Suspensão";4
"1e3e3435";"Consumo";7
"1e3e3435";"Estabilidade";5
"1e3e3435";"Custo-Benefício";9
"1e3e3435";"Recomendação";5
"b69dd579";"Estilo";7
"b69dd579";"Acabamento";6
"b69dd579";"Posição de dirigir";6
"b69dd579";"Instrumentos";7
"b69dd579";"Interior";6
"b69dd579";"Porta-malas";6
"b69dd579";"Desempenho";7
"b69dd579";"Motor";7
"b69dd579";"Câmbio";7
"b69dd579";"Freios";8
"b69dd579";"Suspensão";8
"b69dd579";"Consumo";8
"b69dd579";"Estabilidade";7
"b69dd579";"Custo-Benefício";7
"b69dd579";"Recomendação";7
"f4e3d42d";"Estilo";8
"f4e3d42d";"Acabamento";2
"f4e3d42d";"Posição de dirigir";8
"f4e3d42d";"Instrumentos";5
"f4e3d42d";"Interior";4
"f4e3d42d";"Porta-malas";4
"f4e3d42d";"Desempenho";8
"f4e3d42d";"Motor";5
"f4e3d42d";"Câmbio";5
"f4e3d42d";"Freios";6
"f4e3d42d";"Suspensão";5
"f4e3d42d";"Consumo";8
"f4e3d42d";"Estabilidade";7
"f4e3d42d";"Custo-Benefício";8
"f4e3d42d";"Recomendação";2
"757215ca";"Estilo";5
"757215ca";"Acabamento";5
"757215ca";"Posição de dirigir";7
"757215ca";"Instrumentos";5
"757215ca";"Interior";6
"757215ca";"Porta-malas";8
"757215ca";"Desempenho";6
"757215ca";"Motor";9
"757215ca";"Câmbio";8
"757215ca";"Freios";7
"757215ca";"Suspensão";7
"757215ca";"Consumo";10
"757215ca";"Estabilidade";8
"757215ca";"Custo-Benefício";9
"757215ca";"Recomendação";9
"0be56d7a";"Estilo";7
"0be56d7a";"Acabamento";5
"0be56d7a";"Posição de dirigir";7
"0be56d7a";"Instrumentos";7
"0be56d7a";"Interior";5
"0be56d7a";"Porta-malas";5
"0be56d7a";"Desempenho";8
"0be56d7a";"Motor";8
"0be56d7a";"Câmbio";7
"0be56d7a";"Freios";8
"0be56d7a";"Suspensão";6
"0be56d7a";"Consumo";8
"0be56d7a";"Estabilidade";6
"0be56d7a";"Custo-Benefício";7
"0be56d7a";"Recomendação";8
"f1bb7133";"Estilo";8
"f1bb7133";"Acabamento";7
"f1bb7133";"Posição de dirigir";8
"f1bb7133";"Instrumentos";9
"f1bb7133";"Interior";7
"f1bb7133";"Porta-malas";6
"f1bb7133";"Desempenho";10
"f1bb7133";"Motor";10
"f1bb7133";"Câmbio";9
"f1bb7133";"Freios";6
"f1bb7133";"Suspensão";8
"f1bb7133";"Consumo";9
"f1bb7133";"Estabilidade";7
"f1bb7133";"Custo-Benefício";10
"f1bb7133";"Recomendação";9
"be5a98e5";"Estilo";7
"be5a98e5";"Acabamento";0
"be5a98e5";"Posição de dirigir";3
"be5a98e5";"Instrumentos";7
"be5a98e5";"Interior";0
"be5a98e5";"Porta-malas";0
"be5a98e5";"Desempenho";4
"be5a98e5";"Motor";1
"be5a98e5";"Câmbio";5
